answer_count,articles_count,follower_count,headline,id,name,url_token
0,0,0,Python ,3efbb88870f1ce1b967b7e54b6f275f9,Just-blue,Just_blue
167,34,15102,微信公众号:Python之禅,ba286d02fd9701a446d68ba85d0755c0,刘志军,zhijun-liu
733,12,59950,喜欢写代码的老师,d127d540d194cf37387ebd4ea250ff6a,金旭亮,jin-xu-liang
404,792,79263,"高品质数字生活消费指南，网站：<a href=""https://link.zhihu.com/?target=http%3A//sspai.com"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">sspai.com</span><span class=""invisible""></span></a>、公众号：sspaime",e3c85e95321538c49d13852df5abdb01,少数派,shao-shu-pai-46
108,502,13957,有态度的游戏媒体。微信公众号：网易爱玩,fec768e46a8aa4999fd73ecf488d2402,网易爱玩,ai-wan-app
57,51,26532,"<a href=""https://zhuanlan.zhihu.com/p/33611869"" class=""internal""><span class=""invisible"">https://</span><span class=""visible"">zhuanlan.zhihu.com/p/33</span><span class=""invisible"">611869</span><span class=""ellipsis""></span></a>",6d23d8e16eb481e548032719bb5898a4,董伟明,dongweiming
303,157,218490,"喜欢用数据讲故事
微信公众号：一个程序员的日常",eaf435b228ce0b038a4afe8203f59b49,路人甲,sgai
64,47,10569,汽车工程师,36f2f399ce7ef661ad56b4cb1a4133f9,许良,richard1989
9,0,14371,区块链黑客,abe47a6e75ba8326b994c9cc8aefd619,汪乐-LaiW3n,wang-le-1993
170,51,15742,普及数据分析，机器学习，人工智能的知识,c9b28ce4b50bf0444d17d010224cb06f,猴子,houzichedan
4831,17,17843,春暖花开，知乎有你，滴-,561c78382be455f312b350d2bfd550bb,萝魏紫,luo-wei-zi
373,3,6913,区块链创业公司CTO。长期招聘程序员,5ecd83700b3830115d5b8f0f09f9390f,钢的琴,gang-de-qin-59
164,1,284,努力做一个友善的人,3b55682c767899b4e75440cde8d32635,隔热城市,wang-pang-zi-52-1
2188,37,35865,互联网研发老兵，《深入浅出React和Redux》作者,29448cc28212a543bea56b9492f82e25,程墨Morgan,morgancheng
62,0,1548,数据工程师,c78b40cca022eb1cc4b814f5866f3c7c,罗伊,luo-yi-28-86
105,1,6254,EE博士生，UIUC,cf493f96a54b530af7871b7914415f2a,Bihan Wen,bihan-wen
1,16,2872,,6fdb99ba84362083d16b0e10e91f7d7a,今日头条技术团队,jin-ri-tou-tiao-ji-zhu-tuan-dui
11,4,2750,职业汽车产品规划—专业、实用的产品&amp;市场解读,08192ecfd4ac45c099eb4e212f0dec11,嘉名,chao-chao-70-57
55,46,16075,公众号：拾书小记（ID：shishuxiaoji），专注数字阅读,2d51b1f17f5f1baf4a97021eaf14cb86,直树桑,Jesusang
94,0,14044,海外创业人士，游戏迷,eb283d682b6331c84a636adcb646b9c3,liu leon,liu-leon-36
10,44,2702,,e8c3210d72f2183b4b303fc0a69599f4,王梦宇,wangmengyuinzhihu
7,1,1054,平面设计 / UI 设计 / 字体排印,72c9f9ec71587f54da8c8185b09e584a,Ryan Lau,liu-yu-hui-56
177,0,220,公众号：老杜还在,1fddb4734fe9e8ac64e97d61a2911747,老杜还在,metaldudu
